#EARTH
L4 	1 	114 		3.142 		0
L4	2 	8 		4.13 		6283.08
L4	3 	1 		3.84 		12566.15
L5 	1 	1 		3.14 		0
B0 	1 	280 		3.199 		84334.662
B0	2 	102 		5.422 		5507.553
B0	3 	80 		3.88 		5223.69
B0	4 	44 		3.70 		2352.87
B0	5 	32 		4.00 		1577.34
B1 	1	9 		3.90 		5507.55
B1	2 	6 		1.73 		5223.69
R0 	1 	100013989 	0 		0
R0	2 	1670700 	3.0984635 	6283.0758500
R0	3 	13956 		3.05525 	12566.15170
R0	4 	3084 		5.1985 		77713.7715
R0	5 	1628 		1.1739 		5753.3849
R0	6 	1576 		2.8469 		7860.4194
R0	7 	925 		5.453 		11506.770
R0	8 	542 		4.564 		3930.210
R0	9 	472 		3.661 		5884.927
R0	10 	346 		0.964 		5507.553
R0	11 	329 		5.900 		5223.694
R0	12 	307 		0.299 		5573.143
R0	13 	243 		4.273 		11790.629
R0	14 	212 		5.847 		1577.344
R0	15 	186 		5.022 		10977.079
R0	16 	175 		3.012 		18849.228
R0	17 	110 		5.055 		5486.778
R0	18 	98 		0.89 		6069.78
R0	19 	86 		5.69 		15720.84
R0 	20 	86 		1.27 		161000.69
R0 	21 	65 		0.27 		17260.15
R0	22 	63 		0.92 		529.69
R0	23 	57 		2.01 		83996.85
R0	24 	56 		5.24 		71430.70
R0	25 	49 		3.25 		2544.31
R0	26 	47 		2.58 		775.52
R0	27 	45 		5.54 		9437.76
R0	28 	43 		6.01 		6275.96
R0	29 	39 		5.36 		4694.00
R0	30 	38 		2.39 		8827.39
R0	31 	37 		0.83 		19651.05
R0	32 	37 		4.90 		12139.55
R0	33 	36 		1.67 		12036.46
R0	34 	35 		1.84 		2942.46
R0	35 	33 		0.24 		7084.90
R0	36 	32 		0.18 		5088.63
R0	37 	32 		1.78 		398.15
R0	38 	28 		1.21 		6286.60
R0	39 	28 		1.90 		6279.55
R0	40 	26 		4.59 		10447.39
R1 	1 	103019 		1.107490 	6283.075850
R1	2 	1721 		1.0644 		12566.1517
R1	3 	702 		3.142 		0
R1	4 	32 		1.02 		18849.23
R1	5 	31 		2.84 		5507.55
R1	6 	25 		1.32 		5223.69
R1	7 	18 		1.42 		1577.34
R1	8 	10 		5.91 		10977.08
R1	9 	9 		1.42 		6275.96
R1	10 	9 		0.27 		5486.78
R2 	1 	4359 		5.7846 		6283.0758
R2	2 	124 		5.579 		12566.152
R2	3 	12 		3.14 		0
R2	4 	9 		3.63 		77713.77
R2	5 	6 		1.87 		5573.14
R2	6 	3 		5.47 		18849.23
R3 	1 	145 		4.273 		6283.076
R3	2 	7 		3.92 		12566.15
R4 	1 	4 		2.56 		6283.08
