18,8,2.2,-,43,42,40,6.3,NGC6541,GC,11.9,15,,
20,9,12.0,+,35,29,0,6.3,Biur2,OC,,13,,
10,35,30.0,-,60,7,0,6.3,Bochum9,OC,,16,,
18,52,18.0,-,20,12,0,6.3,Cr394,OC,,22,,
8,12,24.0,-,37,37,0,6.3,NGC2546,OC,,70,,
14,29,44.0,-,60,42,39,6.3,NGC5617,OC,,10,,
20,34,32.3,+,28,16,49,6.3,NGC6940,OC,,25,,
11,43,48.0,-,62,32,0,6.3,Stock14,OC,,4,,
5,28,43.0,+,35,51,18,6.4,M38/NGC1912,OC,12.0,15,,
17,1,12.6,-,30,6,42,6.4,M62/NGC6266,GC,12.0,15,,
1,19,33.0,+,58,17,42,6.4,NGC457,OC,,20,,
16,55,30.6,-,39,28,1,6.4,NGC6242,OC,,9,,
22,15,8.5,+,49,53,51,6.4,NGC7243,OC,,30,,
18,9,48.0,-,23,50,0,6.4,Cr367,OC,,37,,
6,21,30.0,+,2,20,0,6.4,Cr91,OC,,17,,
14,24,24.0,-,61,21,0,6.4,Lynga2,OC,,12,,
4,15,19.0,+,51,12,42,6.4,NGC1528,OC,,18,,
4,45,42.2,+,19,7,9,6.4,NGC1647,OC,,40,,
4,48,27.0,+,10,55,48,6.4,NGC1662,OC,,12,,
2,32,48.0,+,61,27,42,6.5,IC1805,OC[III3pn],,20,,
2,51,18.0,+,60,24,30,6.5,IC1848,OC[IV3pn],,18,,
17,17,7.3,+,43,8,13,6.5,M92/NGC6341,GC,12.0,14,,
0,29,58.0,+,60,12,42,6.5,NGC129,OC,,12,,
7,14,10.0,-,25,41,24,6.5,NGC2354,OC,,18,,
8,4,58.1,-,28,8,46,6.5,NGC2527/NGC2520,OC,,10,,
8,10,36.9,-,12,49,14,6.5,NGC2539,OC,,15,,
15,4,2.3,-,54,20,21,6.5,NGC5822,OC,,35,,
1,43,59.4,+,61,52,58,6.5,NGC654,OC,,6,,
18,18,6.0,-,12,13,0,6.5,NGC6604,OC,,6,,
16,57,8.9,-,4,5,56,6.6,M10/NGC6254,GC,12.9,20,,
21,33,27.2,-,0,49,22,6.6,M2/NGC7089,GC,12.4,16,,
20,24,6.0,+,38,29,36,6.6,M29/NGC6913,OC,11.0,10,,
3,49,25.0,+,52,39,18,6.6,NGC1444,OC,,4,,
11,10,26.6,-,60,14,38,6.6,NGC3572,OC,,7,,
16,34,5.0,-,44,2,43,6.6,NGC6169,OC,,12,,
7,8,6.7,-,10,37,0,6.7,NGC2343,OC,,6,,
10,37,19.3,-,58,38,3,6.7,NGC3324,BN,12.3,16,14,
8,44,42.0,-,41,17,0,6.7,Cr197,OC,,17,,
16,46,42.0,-,47,5,0,6.7,Hogg22,OC,,2,,
2,42,36.0,+,61,35,42,6.7,NGC1027/IC1824,OC,,15,,
3,31,38.0,+,37,22,36,6.7,NGC1342,OC,,17,,
6,1,6.5,+,23,19,4,6.7,NGC2129,OC,,6,,
7,37,6.7,-,13,52,17,6.7,NGC2423,OC,,12,,
16,34,34.9,-,49,46,19,6.7,NGC6167,OC,,7,,
18,51,30.0,+,10,20,0,6.7,NGC6709,OC,,15,,
23,57,28.6,+,56,42,52,6.7,NGC7789,OC,,25,,
17,36,12.0,-,33,29,0,6.7,Tr27/Cr336,OC,,7,,
17,2,37.7,-,26,16,3,6.8,M19/NGC6273,GC,12.7,17,,
1,3,14.3,-,70,50,52,6.8,NGC362,GC,12.3,14,,
13,25,29.0,-,43,0,58,6.8,NGC5128/PGC46957,GX,13.3,26,20,35.0
8,44,48.0,-,45,58,0,6.8,Bochum7,OC,,20,,
10,44,36.0,-,59,34,0,6.8,Cr232,OC,,4,,
2,59,24.0,+,60,34,0,6.8,Cr34,OC,,25,,
17,26,12.0,+,24,12,0,6.8,DoDz8,OC,,13,,
17,36,17.0,-,44,44,4,6.8,NGC6388,GC,11.6,10,,
19,37,9.6,+,46,22,32,6.8,NGC6811,OC,,15,,
18,19,58.0,-,17,6,6,6.9,M18/NGC6613,OC,12.0,7,,
18,24,32.9,-,24,52,10,6.9,M28/NGC6626,GC,12.4,14,,
21,40,22.0,-,23,10,43,6.9,M30/NGC7099,GC,12.1,12,,
23,24,48.0,+,61,36,0,6.9,M52/NGC7654,OC,12.0,16,,
8,51,18.0,+,11,49,0,6.9,M67/NGC2682,OC,13.0,25,,
9,55,33.5,+,69,4,2,6.9,M81/NGC3031,GX,12.8,25,12,157.0
10,17,36.8,-,46,24,38,6.9,NGC3201,GC,13.2,20,,
12,42,19.8,-,62,59,38,6.9,NGC4609,OC,,6,,
16,19,54.0,-,54,58,0,6.9,Cr299/Harvard10,OC,,25,,
11,10,42.0,-,60,23,0,6.9,Hogg10,OC,,3,,
17,24,52.0,-,49,56,36,6.9,IC4651,OC[II3m],,10,,
4,7,49.2,+,62,19,54,6.9,NGC1502,OC,,20,,
7,40,45.4,-,31,41,33,6.9,NGC2439,OC,,9,,
11,11,24.0,-,60,39,0,6.9,Tr18/Cr241,OC,,12,,
11,39,5.0,-,63,26,36,7.0,IC2948,BN[EN],14.9,45,40,
5,35,31.3,-,5,16,3,7.0,M43/NGC1982,BN,13.0,20,15,
20,45,42.0,+,30,43,0,7.0,NGC6960/Veil_Nebula_west,BN,13.3,70,6,
20,56,18.0,+,31,44,30,7.0,NGC6992/Veil_Nebula_east/Sh2-103,BN,13.5,60,8,
20,57,10.0,+,31,14,0,7.0,NGC6995,BN,12.2,12,,
7,32,6.0,-,16,57,0,7.0,Bochum5,OC,,11,,
6,38,42.0,+,6,54,0,7.0,Cr111,OC,,3,,
19,38,24.0,+,0,21,0,7.0,Cr401,OC,,1,,
18,35,0.0,+,72,23,0,7.0,Kemble2,ASTER;Fr._Lucian_Kemble's_''Mini-Cassiopeia''_asterism,,30,,
4,31,39.0,+,43,44,36,7.0,NGC1582,OC,,24,,
5,10,46.0,+,16,30,48,7.0,NGC1807,OC,,12,,
5,20,5.0,+,39,20,36,7.0,NGC1857,OC,,10,,
5,35,4.8,-,4,43,55,7.0,NGC1973,BN,10.2,5,,
5,35,18.0,-,4,41,0,7.0,NGC1975,BN,11.0,10,5,
0,43,36.0,+,61,46,0,7.0,NGC225,OC,,15,,
8,18,56.3,-,29,44,57,7.0,NGC2571,OC,,7,,
8,39,3.1,-,46,13,38,7.0,NGC2645,OC,,3,,
18,17,4.8,-,19,51,58,7.0,NGC6595/NGC6590,BN,12.0,11,,
21,24,22.0,+,36,29,12,7.0,NGC7063,OC,,9,,
11,58,48.0,-,64,34,0,7.0,Ru98,OC,,10,,
11,13,6.0,-,58,55,0,7.0,Stock13,OC,,3,,
2,4,30.0,+,64,23,0,7.0,Stock5,OC,,15,,
10,44,24.0,-,59,21,0,7.0,Tr15/Cr231,OC,,15,,
3,11,54.0,+,63,11,0,7.0,Tr3/Cr36;Harvard1,OC,,23,,
5,14,6.3,-,40,2,48,7.1,NGC1851,GC,12.3,12,,
1,46,17.0,+,61,13,6,7.1,NGC663,OC,,15,,
19,43,10.0,+,23,18,0,7.1,NGC6823,OC,,7,,
21,1,35.5,+,68,10,10,7.1,NGC7023/vdB139,BN,11.6,10,8,
12,27,18.0,-,60,47,0,7.1,Harvard5/Cr257,OC,,6,,
7,37,30.0,-,12,4,0,7.1,Mel71/Cr155,OC,,9,,
2,29,36.0,+,60,39,0,7.1,Mrk6,OC,,4,,
7,14,30.3,-,10,15,57,7.1,NGC2353,OC,,18,,
7,6,49.4,-,10,1,43,7.2,NGC2335,OC,,7,,
7,17,43.1,-,15,38,29,7.2,NGC2360,OC,,14,,
0,47,33.1,-,25,17,15,7.2,NGC253/PGC3085/ESO474-29,GX,12.7,29,7,52.0
12,25,45.4,-,72,39,31,7.2,NGC4372,GC,10.4,5,,
17,17,18.0,-,35,33,0,7.2,Bochum13,OC,,15,,
9,30,29.0,-,52,54,50,7.2,NGC2910,OC,,6,,
12,29,55.2,-,64,47,22,7.2,NGC4463,OC,,6,,
16,27,43.6,-,49,9,51,7.2,NGC6134,OC,,6,,
16,35,50.8,-,45,38,48,7.2,NGC6178,OC,,5,,
16,49,25.8,-,53,42,18,7.2,NGC6208,OC,,18,,
17,47,0.0,-,31,31,48,7.2,NGC6425,OC,,10,,
17,50,12.9,-,37,3,2,7.2,NGC6441,GC,11.9,10,,
21,29,17.0,+,47,7,36,7.2,NGC7082,OC,,24,,
22,47,21.0,+,58,7,54,7.2,NGC7380,OC,,20,,
7,59,0.0,-,28,35,0,7.2,Ru44,OC,,5,,
